date,classification,avg_pnl,win_rate,total_volume,avg_proxy_leverage,sentiment_flag,week
2023-05-01,Greed,0.0,0.0,905394.256,28.875073164123908,3.0,2023-05-01
2023-12-05,Extreme Greed,0.0,0.0,1102369349.1,11719.018316498703,4.0,2023-12-04
2023-12-14,Greed,-18.675885181818188,0.36363636363636365,1153254780.191541,10030.883613076025,3.0,2023-12-11
2023-12-15,Greed,-12.316016999999999,0.0,31638.8709,1.5135528627670645,3.0,2023-12-11
2023-12-16,Greed,0.0,0.0,5904.8201407999995,0.18831808624440005,3.0,2023-12-11
2023-12-17,Greed,21.78448464285714,0.5,137380341.7539717,938.8650445064737,3.0,2023-12-11
2023-12-18,Greed,0.0,0.0,67888039.25999999,3247.6549651339124,3.0,2023-12-18
2023-12-19,Greed,66.70257413333334,0.6666666666666666,71639116.6003124,456.9467322194331,3.0,2023-12-18
2023-12-20,Greed,9.040682333333333,0.4444444444444444,982169.6091852,5.220602173557718,3.0,2023-12-18
2023-12-21,Greed,10.963498000000001,0.5306122448979592,11496651.39172,22.448219265383383,3.0,2023-12-18
2023-12-22,Greed,14.1832675,0.2,2599552948.5798497,24871.689129953087,3.0,2023-12-18
2023-12-23,Greed,11.302823384615383,0.6153846153846154,377930.75528419996,2.781477148041091,3.0,2023-12-18
2023-12-24,Greed,25.862050153846155,0.38461538461538464,8970515856.752634,22006.928088307777,3.0,2023-12-18
2023-12-25,Greed,-81.69378266666666,0.0,136228969.18899998,4344.650329221391,3.0,2023-12-25
2023-12-27,Greed,-25.174615249999995,0.14285714285714285,66441.4646515,0.2270323682074493,3.0,2023-12-25
2023-12-28,Greed,-42.20569026086957,0.0,39062.611544499996,0.16249501860957274,3.0,2023-12-25
2023-12-29,Greed,10.178442859999999,0.3,2854561104.08819,5462.305079965659,3.0,2023-12-25
2023-12-30,Greed,6.826897076923077,0.4423076923076923,13400613348.281301,24656.30229666647,3.0,2023-12-25
2024-01-01,Greed,-7.196192222222223,0.05555555555555555,4522447566.08159,24038.515723239434,3.0,2024-01-01
2024-01-02,Greed,46.11641858823529,0.47058823529411764,4436094853.617868,24966.548962252728,3.0,2024-01-01
2024-01-03,Greed,12.925604582089552,0.417910447761194,449849199.9397708,642.389986873982,3.0,2024-01-01
2024-01-04,Greed,-13.520728,0.0,220831101.759,4225.682355249149,3.0,2024-01-01
2024-01-05,Greed,2.486993409090909,0.19696969696969696,53683650401.456,77822.41738069219,3.0,2024-01-01
2024-01-06,Greed,6.16280290909091,0.45454545454545453,4606759742.71105,20034.54553418964,3.0,2024-01-01
2024-01-07,Greed,-8.615270463917525,0.09278350515463918,16203529294.314886,15982.492064841661,3.0,2024-01-01
2024-01-08,Greed,-2.1083940546875,0.25,34747023401.7518,25972.529620180172,3.0,2024-01-08
2024-01-09,Extreme Greed,-11.804998042857143,0.2571428571428571,17164584695.786184,23460.748995958205,4.0,2024-01-08
2024-01-10,Greed,-7.860576901554404,0.21243523316062177,45747782578.04337,22678.762477563858,3.0,2024-01-08
2024-01-11,Extreme Greed,-7.813785761904761,0.23809523809523808,4786649099.92536,21808.154222852983,4.0,2024-01-08
2024-01-12,Greed,-275.0741462857143,0.0,9171437093.039999,125356.24216113707,3.0,2024-01-08
2024-01-15,Neutral,10.918112857142857,0.6428571428571429,2119638446.3179998,14485.729317837055,2.0,2024-01-15
2024-01-16,Greed,-255.4634953333333,0.3333333333333333,4027410905.0710483,42814.41805609637,3.0,2024-01-15
2024-01-17,Greed,15.344794547169812,0.20754716981132076,17086282276.63124,30844.54160961471,3.0,2024-01-15
2024-01-18,Greed,1.4985476086956522,0.06521739130434782,9088973810.251,18904.432013668124,3.0,2024-01-15
